core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,lift,baseline_rate_per_100k
068,126,0.0015756105490877714,seed_sum_mod2,odd,72,40018,1.1419004305205516,157.56105490877715
068,126,0.0015756105490877714,overlap_unique,>=2,36,20163,1.133178877859729,157.56105490877715
068,126,0.0015756105490877714,seed_contains_core_pair,yes,36,20163,1.133178877859729,157.56105490877715
078,97,0.0012129700258850305,overlap_unique,3,4,1614,2.0431788857803497,121.29700258850305
078,97,0.0012129700258850305,seed_sum_range4_best,26-29,11,6262,1.448203367061016,121.29700258850305
078,97,0.0012129700258850305,seed_even_count,2,46,30072,1.2610881650362153,121.29700258850305
078,97,0.0012129700258850305,seed_sum_mod3,0,38,26368,1.18810914197778,121.29700258850305
078,97,0.0012129700258850305,seed_high_count,1,28,19875,1.161450820203592,121.29700258850305
078,97,0.0012129700258850305,seed_structure,AABB,3,2148,1.1514283245982837,121.29700258850305
078,97,0.0012129700258850305,seed_structure,AAAB,4,2934,1.1239573011756934,121.29700258850305
078,97,0.0012129700258850305,seed_sum_mod2,even,53,39951,1.0936998338428492,121.29700258850305
078,97,0.0012129700258850305,seed_sum_mod3,2,34,26879,1.0428353411220885,121.29700258850305
078,97,0.0012129700258850305,seed_structure,AABC,43,34212,1.0361912562180509,121.29700258850305
129,113,0.0014130475559279221,seed_sum_range4_best,28-31,8,3331,1.6996463896408902,141.30475559279222
129,113,0.0014130475559279221,seed_high_count,2,50,30237,1.1702388885913377,141.30475559279222
129,113,0.0014130475559279221,seed_even_count,0,8,4934,1.1474507750088783,141.30475559279222
129,113,0.0014130475559279221,seed_structure,AABC,53,34212,1.0963283079269397,141.30475559279222
129,113,0.0014130475559279221,seed_even_count,3,31,20021,1.0957693536830575,141.30475559279222
129,113,0.0014130475559279221,overlap_unique,0,29,19011,1.0795338329974775,141.30475559279222
129,113,0.0014130475559279221,seed_sum_mod3,0,40,26368,1.0735592619640861,141.30475559279222
129,113,0.0014130475559279221,overlap_unique,>=2,30,19985,1.062332147340594,141.30475559279222
129,113,0.0014130475559279221,seed_contains_core_pair,yes,30,19985,1.062332147340594,141.30475559279222
129,113,0.0014130475559279221,seed_even_count,2,45,30072,1.0589938130786996,141.30475559279222
135,111,0.0013880378646725607,overlap_unique,3,6,1600,2.701655405405405,138.80378646725606
135,111,0.0013880378646725607,seed_even_count,4,11,4945,1.6025997686260578,138.80378646725606
135,111,0.0013880378646725607,seed_sum_range4_best,29-32,5,2331,1.545348437240329,138.80378646725606
135,111,0.0013880378646725607,seed_structure,AAAB,6,2934,1.4732953812708414,138.80378646725606
135,111,0.0013880378646725607,seed_sum_mod3,2,45,26879,1.206141034445659,138.80378646725606
135,111,0.0013880378646725607,seed_high_count,2,50,30237,1.1913242739713619,138.80378646725606
135,111,0.0013880378646725607,seed_high_count,4,8,4918,1.1719258909173507,138.80378646725606
135,111,0.0013880378646725607,seed_even_count,0,8,4934,1.1681255637477768,138.80378646725606
135,111,0.0013880378646725607,seed_even_count,3,32,20021,1.1514972342103853,138.80378646725606
135,111,0.0013880378646725607,seed_first_in_core,yes,38,24110,1.1354945987048848,138.80378646725606
145,112,0.0014005427103002414,seed_even_count,0,12,4934,1.736543806821472,140.05427103002415
145,112,0.0014005427103002414,overlap_unique,3,3,1557,1.3757397467657582,140.05427103002415
145,112,0.0014005427103002414,seed_first_in_core,yes,46,23922,1.3729792958066094,140.05427103002415
145,112,0.0014005427103002414,seed_sum_range4_best,11-14,27,14148,1.3626124591057795,140.05427103002415
145,112,0.0014005427103002414,seed_structure,AABB,4,2148,1.3296255653099227,140.05427103002415
145,112,0.0014005427103002414,overlap_unique,>=2,37,20020,1.3195969209362066,140.05427103002415
145,112,0.0014005427103002414,seed_contains_core_pair,yes,37,20020,1.3195969209362066,140.05427103002415
145,112,0.0014005427103002414,seed_even_count,4,9,4945,1.2995106890076555,140.05427103002415
145,112,0.0014005427103002414,seed_sum_mod3,2,48,26879,1.275063379271125,140.05427103002415
145,112,0.0014005427103002414,seed_high_count,2,53,30237,1.2515286971024147,140.05427103002415
146,134,0.0016756493141092173,seed_sum_range4_best,26-29,17,6262,1.6201406731910553,167.56493141092173
146,134,0.0016756493141092173,seed_structure,AABB,5,2148,1.3891610383835016,167.56493141092173
146,134,0.0016756493141092173,seed_even_count,4,11,4945,1.3275266740111373,167.56493141092173
146,134,0.0016756493141092173,seed_even_count,0,10,4934,1.2095329997761495,167.56493141092173
146,134,0.0016756493141092173,seed_last_in_core,yes,48,23979,1.1946124500729183,167.56493141092173
146,134,0.0016756493141092173,seed_high_count,2,58,30237,1.1447381605712879,167.56493141092173
146,134,0.0016756493141092173,overlap_unique,>=2,38,20015,1.1330390267001242,167.56493141092173
146,134,0.0016756493141092173,seed_contains_core_pair,yes,38,20015,1.1330390267001242,167.56493141092173
146,134,0.0016756493141092173,seed_sum_mod3,2,51,26879,1.1323324039795812,167.56493141092173
146,134,0.0016756493141092173,overlap_unique,3,3,1654,1.0824369687234925,167.56493141092173
149,95,0.001187960334629669,seed_even_count,0,10,4934,1.7060781260000424,118.7960334629669
149,95,0.001187960334629669,seed_sum_range4_best,9-12,17,9962,1.4364828453386025,118.7960334629669
149,95,0.001187960334629669,overlap_unique,0,27,19129,1.188145307070279,118.7960334629669
149,95,0.001187960334629669,overlap_unique,>=2,28,19951,1.1813849193682415,118.7960334629669
149,95,0.001187960334629669,seed_contains_core_pair,yes,28,19951,1.1813849193682415,118.7960334629669
149,95,0.001187960334629669,seed_structure,AABB,3,2148,1.175668920905616,118.7960334629669
149,95,0.001187960334629669,seed_sum_mod3,0,36,26368,1.1492734414920798,118.7960334629669
149,95,0.001187960334629669,seed_high_count,3,26,19954,1.0968353528905956,118.7960334629669
149,95,0.001187960334629669,seed_sum_mod2,even,52,39951,1.095654808719629,118.7960334629669
149,95,0.001187960334629669,seed_spread,>=6,62,48282,1.0809472419709645,118.7960334629669
167,115,0.0014380572471832836,seed_sum_range4_best,30-33,5,1483,2.3445131783400273,143.80572471832835
167,115,0.0014380572471832836,seed_structure,AAAB,9,2934,2.133075486796479,143.80572471832835
