core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
17,307,0.008734991179650601,seed_sum_mod3,0,91,11432,0.007960111966410078,0.9112902122848487,-0.0007748792132405233,873.4991179650601
17,307,0.008734991179650601,seed_high_count,3,70,8727,0.00802108399220809,0.9182704169060114,-0.0007139071874425109,873.4991179650601
17,307,0.008734991179650601,seed_sum_mod3,1,95,11808,0.00804539295392954,0.9210533575205458,-0.0006895982257210612,873.4991179650601
17,307,0.008734991179650601,seed_sum_band,18-26,130,16140,0.0080545229244114,0.9220985755744724,-0.0006804682552392013,873.4991179650601
17,307,0.008734991179650601,seed_prime_count,1,98,12149,0.008066507531484073,0.9234705983763491,-0.0006684836481665284,873.4991179650601
17,307,0.008734991179650601,seed_prime_count,2,98,12114,0.008089813438996203,0.9261387072539432,-0.0006451777406543974,873.4991179650601
17,307,0.008734991179650601,seed_even_count,4,18,2213,0.008133755083596927,0.9311692383325655,-0.0006012360960536735,873.4991179650601
17,307,0.008734991179650601,seed_spread_band,4-6,126,15348,0.008209538702111024,0.9398451049654529,-0.0005254524775395765,873.4991179650601
17,307,0.008734991179650601,seed_consecutive_pairs,0,98,11865,0.008259587020648967,0.9455747408069335,-0.0004754041590016335,873.4991179650601
17,307,0.008734991179650601,seed_structure,ABCD,147,17772,0.008271438217420662,0.946931490519435,-0.00046355296222993884,873.4991179650601
17,307,0.008734991179650601,seed_unique_count,4,147,17772,0.008271438217420662,0.946931490519435,-0.00046355296222993884,873.4991179650601
17,307,0.008734991179650601,seed_repeat_digit,none,147,17772,0.008271438217420662,0.946931490519435,-0.00046355296222993884,873.4991179650601
